codigo_br,descricao_catmat,preco_unitario,qtd_itens_comprados,fornecedor,fabricante,nome_instituicao,ano_compra,mediana_produto,razao_vs_mediana
410627,"DIETA ENTERAL, INDICAÇÃO:FENILCETONÚRIA, ASPECTO FÍSICO:PÓ, USO:ENTERAL OU ORAL, FONTE DE PROTEÍNA:À BASE DE AA'S, FONTE DE CARBOIDRATO:MALTODEXTRINA, COMPONENTES ADICIONAIS:AA'S,VIT.,MINERAIS, CARACTERÍSTICAS ADICIONAIS:ISENTO FENILALANINA, FAIXA:1 A 8 ANOS",1300.0,99,CIRURGICA SAO JOSE LTDA,DANONE LTDA,MUNICIPIO DE UBATUBA,2020,0.7,1857.1428571428573
267618,"CARBAMAZEPINA, DOSAGEM:200 MG",330.0,2,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,FUNDO MUNICIPAL DE SAUDE,2024,0.18,1833.3333333333335
267618,"CARBAMAZEPINA, DOSAGEM:200 MG",330.0,2,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,NOVARTIS BIOCIENCIAS SA,FUNDO MUNICIPAL DE SAUDE,2024,0.18,1833.3333333333335
305325,"MOXIFLOXACINO, DOSAGEM:1,6 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",49900.0,120,NSA DISTRIBUIDORA DE MEDICAMENTOS LTDA,EUROFARMA LABORATORIOS S.A.,FUNDO MUNICIPAL DE SAUDE,2022,28.33,1761.3836921990824
397516,"AGULHA HIPODÉRMICA, MATERIAL:AÇO INOXIDÁVEL SILICONIZADO, DIMENSÃO:30 G X 1/2"", TIPO PONTA:BISEL CURTO TRIFACETADO, TIPO CONEXÃO:CONECTOR LUER LOCK EM PLÁSTICO, TIPO FIXAÇÃO:PROTETOR PLÁSTICO, CARACTERÍSTICA ADICIONAL:COM SISTEMA SEGURANÇA SEGUNDO NR/32, TIPO USO:ESTÉRIL, DESCARTÁVEL, EMBALAGEM INDIVIDUAL",560.0,4000,AGLAMED-MATERIAL MEDICO HOSPITALAR LTDA,LABOR IMPORT COMERCIAL IMPORTADORA EXPORTADORA LTDA,FUNDO MUNICIPAL DE SAUDE DE ESTANCIA/SE,2020,0.318,1761.006289308176
308729,"BEZAFIBRATO, DOSAGEM:400 MG, FORMA FARMACÊUTICA:DESINTEGRAÇÃO LENTA",4640.0,1800,GLAXOSMITHKLINE BRASIL LTDA,GLAXOSMITHKLINE BRASIL LTDA,SECRETARIA DE ESTADO DA SAUDE,2020,2.65,1750.9433962264152
300989,"PERICIAZINA, DOSAGEM:40 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO ORAL - GOTAS",30700.0,225,J&G PHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,SANOFI MEDLEY FARMACEUTICA LTDA,MUNICIPIO DE CHAVAL,2025,18.5,1659.4594594594594
449181,"MULTIVITAMINAS, COMPOSIÇÃO DE VITAMINAS:VITS: A, B1, B2, B3, B5, B6, B12, C, D, COMPOSIÇÃO DE SAIS MINERAIS:MINERAIS: FE, MN, ZN, OUTROS COMPONENTES:ÁCIDO FÓLICO",121.8,4,FRAGNARI DISTRIBUIDORA DE MEDICAMENTOS LTDA.,BIONATUS FARMA COMERCIO DE MEDICAMENTOS LTDA,MUNICIPIO DE TAQUARAL,2020,0.077,1581.8181818181818
270119,"CLONAZEPAM, DOSAGEM:2 MG",86.7,1,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,EUROFARMA LABORATORIOS S.A.,FUNDO MUNICIPAL DE SAUDE,2024,0.055,1576.3636363636365
409705,"LÂMINA LABORATÓRIO, MATERIAL:VIDRO, DIMENSÕES:CERCA DE 75 X 25 MM, TIPO :LAPIDADA, TIPO BORDA:BORDA FOSCA",6500.0,10000,GC LAB DIAGNOSTICOS LTDA,FIRSTLAB INDUSTRIA IMPORTACAO E EXPORTACAO DE PRODUTOS PARA LABORATORIOS LTDA,FUNDO MUNICIPAL DE SAUDE,2023,4.215,1542.111506524318
